city,hotel_name,hotel_price,hotel_position,hotel_review,hotel_rating_star,hotel_description,hotel_url,dt,temperature,temperature_max,temperature_min,weather,weather_id,dt_txt_date,dt_txt_time,Precipitation_prob,score_tendance_5jours,temperature_moyenne_tendance_5jours
Aigues Mortes,Aigues Marines,€ 976,"2,4 km du centre",Fabuleux ,0.0,,https://www.booking.com/hotel/fr/aigues-marines-aigues-mortes1.fr.html?aid=304142&label=gen173bo-1DCAQoggJCDWNpdHlfLTE0MDY4MDBIDVgDaE2IAQGYAQ24ARjIAQXYAQPoAQH4AQOIAgGYAgKoAgS4AubT6cMGwAIB0gIkZmEzMGZiMmQtOWZiMS00ZjdmLWE5ZjItODk2MDM1NDAwNzc02AIE4AIB&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1406800&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c47b6db393140114&srepoch=1752852967&all_sr_blocks=1391560101_411171066_2_1_0&highlighted_blocks=1391560101_411171066_2_1_0&matching_block_id=1391560101_411171066_2_1_0&sr_pri_blocks=1391560101_411171066_2_1_0__97550&from=searchresults,,,,,,,,,,,
Le Mont-Saint-Michel,Hotel Rose,€ 1 186,"4,3 km de : Le Mont-Saint-Michel",Très bien,4.0,,https://www.booking.com/hotel/fr/gue-de-beauvoir.fr.html?aid=304142&label=gen173bo-1DCAQoggJCDmNpdHlfOTAwMDM5MzI3SA1YA2hNiAEBmAENuAEYyAEF2AED6AEB-AEDiAIBmAICqAIEuALm0-nDBsACAdICJDQzMTA4ODc0LTkxMzgtNGMzNy1hMWE3LTQ1ZGZjNDI4MDlmZdgCBOACAQ&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=900039327&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=56a06db3fe78038b&srepoch=1752852967&all_sr_blocks=5925511_369814916_2_2_0&highlighted_blocks=5925511_369814916_2_2_0&matching_block_id=5925511_369814916_2_2_0&sr_pri_blocks=5925511_369814916_2_2_0__118643&from=searchresults,,,,,,,,,,,
Aigues Mortes,La Villa Mazarin,€ 1 096,250 m du centre,Fabuleux ,10.0,,https://www.booking.com/hotel/fr/la-villa-mazarin.fr.html?aid=304142&label=gen173bo-1DCAQoggJCDWNpdHlfLTE0MDY4MDBIDVgDaE2IAQGYAQ24ARjIAQXYAQPoAQH4AQOIAgGYAgKoAgS4AubT6cMGwAIB0gIkZmEzMGZiMmQtOWZiMS00ZjdmLWE5ZjItODk2MDM1NDAwNzc02AIE4AIB&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1406800&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c47b6db393140114&srepoch=1752852967&all_sr_blocks=5352101_99734949_0_42_0&highlighted_blocks=5352101_99734949_0_42_0&matching_block_id=5352101_99734949_0_42_0&sr_pri_blocks=5352101_99734949_0_42_0__109582&from=searchresults,,,,,,,,,,,
Aigues Mortes,Le Patio des Salins - Sublime maison de charme intramuros à Aigues-Mortes,€ 1 000,"1,1 km du centre",,0.0,Villa entière. 2 chambres. 1 salle de bains. 1 cuisine. 95 m²,https://www.booking.com/hotel/fr/la-maison-aigues-mortes.fr.html?aid=304142&label=gen173bo-1DCAQoggJCDWNpdHlfLTE0MDY4MDBIDVgDaE2IAQGYAQ24ARjIAQXYAQPoAQH4AQOIAgGYAgKoAgS4AubT6cMGwAIB0gIkZmEzMGZiMmQtOWZiMS00ZjdmLWE5ZjItODk2MDM1NDAwNzc02AIE4AIB&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1406800&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c47b6db393140114&srepoch=1752852967&all_sr_blocks=1439162201_416834771_2_0_0&highlighted_blocks=1439162201_416834771_2_0_0&matching_block_id=1439162201_416834771_2_0_0&sr_pri_blocks=1439162201_416834771_2_0_0__100029&from=searchresults,,,,,,,,,,,
Aigues Mortes,"Hotel Des 4 Vents ""Esprit Camargue"" Parking Privé securisé",€ 668,"1,3 km du centre",Très bien,6.0,,https://www.booking.com/hotel/fr/des-4-vents.fr.html?aid=304142&label=gen173bo-1DCAQoggJCDWNpdHlfLTE0MDY4MDBIDVgDaE2IAQGYAQ24ARjIAQXYAQPoAQH4AQOIAgGYAgKoAgS4AubT6cMGwAIB0gIkZmEzMGZiMmQtOWZiMS00ZjdmLWE5ZjItODk2MDM1NDAwNzc02AIE4AIB&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1406800&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c47b6db393140114&srepoch=1752852967&all_sr_blocks=26165102_411514176_2_0_0&highlighted_blocks=26165102_411514176_2_0_0&matching_block_id=26165102_411514176_2_0_0&sr_pri_blocks=26165102_411514176_2_0_0__66820&from=searchresults,,,,,,,,,,,
Aigues Mortes,Hôtel Saint Louis,€ 942,100 m du centre,Très bien,6.0,,https://www.booking.com/hotel/fr/saint-louis-aigues-mortes.fr.html?aid=304142&label=gen173bo-1DCAQoggJCDWNpdHlfLTE0MDY4MDBIDVgDaE2IAQGYAQ24ARjIAQXYAQPoAQH4AQOIAgGYAgKoAgS4AubT6cMGwAIB0gIkZmEzMGZiMmQtOWZiMS00ZjdmLWE5ZjItODk2MDM1NDAwNzc02AIE4AIB&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1406800&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c47b6db393140114&srepoch=1752852967&all_sr_blocks=7675805_88985011_0_34_0&highlighted_blocks=7675805_88985011_0_34_0&matching_block_id=7675805_88985011_0_34_0&sr_pri_blocks=7675805_88985011_0_34_0__94174&from=searchresults,,,,,,,,,,,
Aigues Mortes,Hotel Les Templiers,€ 1 284,150 m du centre,Superbe,6.0,,https://www.booking.com/hotel/fr/les-templiers.fr.html?aid=304142&label=gen173bo-1DCAQoggJCDWNpdHlfLTE0MDY4MDBIDVgDaE2IAQGYAQ24ARjIAQXYAQPoAQH4AQOIAgGYAgKoAgS4AubT6cMGwAIB0gIkZmEzMGZiMmQtOWZiMS00ZjdmLWE5ZjItODk2MDM1NDAwNzc02AIE4AIB&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1406800&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c47b6db393140114&srepoch=1752852967&all_sr_blocks=5876601_340055943_0_2_0&highlighted_blocks=5876601_340055943_0_2_0&matching_block_id=5876601_340055943_0_2_0&sr_pri_blocks=5876601_340055943_0_2_0__128400&from=searchresults,,,,,,,,,,,
Aigues Mortes,Chambre d'hôte Farniente,€ 657,250 m du centre,Fabuleux ,0.0,,https://www.booking.com/hotel/fr/chambre-d-39-hote-farniente.fr.html?aid=304142&label=gen173bo-1DCAQoggJCDWNpdHlfLTE0MDY4MDBIDVgDaE2IAQGYAQ24ARjIAQXYAQPoAQH4AQOIAgGYAgKoAgS4AubT6cMGwAIB0gIkZmEzMGZiMmQtOWZiMS00ZjdmLWE5ZjItODk2MDM1NDAwNzc02AIE4AIB&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1406800&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c47b6db393140114&srepoch=1752852967&all_sr_blocks=744732301_330241523_2_0_0&highlighted_blocks=744732301_330241523_2_0_0&matching_block_id=744732301_330241523_2_0_0&sr_pri_blocks=744732301_330241523_2_0_0__65737&from=searchresults,,,,,,,,,,,
Aigues Mortes,Les suites du 17,€ 1 278,100 m du centre,Fabuleux ,0.0,Suite privée. 1 chambre. 1 salon. 1 salle de bains. 23 m²,https://www.booking.com/hotel/fr/les-suites-du-17.fr.html?aid=304142&label=gen173bo-1DCAQoggJCDWNpdHlfLTE0MDY4MDBIDVgDaE2IAQGYAQ24ARjIAQXYAQPoAQH4AQOIAgGYAgKoAgS4AubT6cMGwAIB0gIkZmEzMGZiMmQtOWZiMS00ZjdmLWE5ZjItODk2MDM1NDAwNzc02AIE4AIB&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1406800&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c47b6db393140114&srepoch=1752852967&all_sr_blocks=397725301_266115872_2_2_0_137473&highlighted_blocks=397725301_266115872_2_2_0_137473&matching_block_id=397725301_266115872_2_2_0_137473&sr_pri_blocks=397725301_266115872_2_2_0_137473_127764&from=searchresults,,,,,,,,,,,
Aigues Mortes,B&B La Terre Brûlée,€ 1 064,"1,5 km du centre",Fabuleux ,0.0,,https://www.booking.com/hotel/fr/b-amp-b-la-terre-brulee.fr.html?aid=304142&label=gen173bo-1DCAQoggJCDWNpdHlfLTE0MDY4MDBIDVgDaE2IAQGYAQ24ARjIAQXYAQPoAQH4AQOIAgGYAgKoAgS4AubT6cMGwAIB0gIkZmEzMGZiMmQtOWZiMS00ZjdmLWE5ZjItODk2MDM1NDAwNzc02AIE4AIB&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1406800&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c47b6db393140114&srepoch=1752852967&all_sr_blocks=168292201_326760102_2_1_0&highlighted_blocks=168292201_326760102_2_1_0&matching_block_id=168292201_326760102_2_1_0&sr_pri_blocks=168292201_326760102_2_1_0__106400&from=searchresults,,,,,,,,,,,
