ss,dest_id
Le Mont-Saint-Michel,900039327
Saint-Malo,-1466824
Bayeux,-1410836
Rouen,-1462807
Paris,-1456928
Amiens,-1407447
Lille,-1447079
Strasbourg,-1471697
Château du Haut-Kœnigsbourg,204055
Colmar,-1421049
Eguisheim,-1425030
Besancon,-1412198
Dijon,-1423981
Annecy,-1407760
Grenoble,-1430647
Lyon,-1448468
Gorges du Verdon,2746
Bormes les Mimosas,-1413801
Cassis,-1416912
Marseille,-1449947
Aix en Provence,-1406939
Avignon,-1409631
Uzes,-1474231
Nimes,-1455068
Aigues Mortes,-1406800
Saintes Maries de la mer,-1465138
Collioure,-1421032
Carcassonne,-1416701
Ariège,2507
Toulouse,-1473166
Montauban,-1452421
Biarritz,-1412526
Bayonne,-1410844
La Rochelle,-1438604
