base,visibility,clouds,dt,timezone,id,name,cod,city,weather_main,weather_description,weather_icon,coord_lon,coord_lat,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,main_sea_level,main_grnd_level,wind_speed,wind_deg,wind_gust,sys_country,sys_sunrise,sys_sunset,city_id,sys_type,sys_id,rain,score_tendance_5jours,lat,lon
stations,10000,,1753171969,7200,6435453,Huisnes-sur-Mer,200,Le Mont-Saint-Michel,Clouds,partiellement nuageux,03d,-1.5103,48.6355,17.87,17.62,17.87,17.87,1015,73,1015,1010,6.3,262,8.24,FR,1753158442,1753214236,0,,,,73.0,48.6355232,-1.5102571
stations,10000,,1753171970,7200,2978640,Saint-Malo,200,St Malo,Clouds,couvert,04d,-2.026,48.6495,17.29,17.09,17.29,17.65,1014,77,1014,1012,5.14,240,,FR,1753158563,1753214363,1,1.0,6557.0,,73.0,48.6495180,-2.0260409
stations,10000,,1753171846,7200,3034483,Bayeux,200,Bayeux,Clouds,peu nuageux,02d,-0.7039,49.2777,18.14,18.05,18.14,18.14,1013,78,1013,1007,7.19,255,9.63,FR,1753158096,1753214195,2,1.0,6569.0,,62.0,49.2764624,-0.7024738
stations,10000,,1753171862,7200,3003796,Havre-de-Grâce,200,Le Havre,Clouds,couvert,04d,0.1079,49.4944,18.51,18.56,17.86,18.51,1013,82,1013,1010,8.75,250,,FR,1753157849,1753214052,3,1.0,6533.0,,69.0,49.4938975,0.1079732
stations,10000,,1753171748,7200,2982652,Rouen,200,Rouen,Clouds,couvert,04d,1.094,49.4405,18.41,18.47,17.8,19.22,1012,83,1012,1000,5.66,250,,FR,1753157625,1753213803,4,2.0,2003589.0,,84.0,49.4404591,1.0939658
stations,10000,,1753171970,7200,2988507,Paris,200,Paris,Clouds,couvert,04d,2.3484,48.8535,18.37,18.33,17.43,19.03,1014,79,1014,1004,5.66,260,,FR,1753157464,1753213362,5,2.0,2012208.0,,84.0,48.8534951,2.3483915
stations,10000,,1753171971,7200,3037854,Amiens,200,Amiens,Clouds,nuageux,04d,2.2957,49.8942,16.77,16.72,16.77,16.77,1011,85,1011,1000,7.51,256,10.42,FR,1753157225,1753213626,6,2.0,2011713.0,,73.0,49.8941708,2.2956951
stations,10000,,1753171875,7200,6454414,Lille,200,Lille,Clouds,nuageux,04d,3.0635,50.6366,18.39,18.61,18.11,19.43,1009,89,1009,1006,5.14,250,,FR,1753156853,1753213630,7,2.0,2011132.0,,69.0,50.6365654,3.0635282
stations,10000,,1753171879,7200,2973783,Strasbourg,200,Strasbourg,Clouds,nuageux,04d,7.7507,48.5846,18.03,18.19,17.94,19.58,1013,88,1013,997,6.17,260,,FR,1753156229,1753212003,8,1.0,6595.0,,47.0,48.5846140,7.7507127
stations,10000,,1753171971,7200,6441605,Saint-Hippolyte,200,Chateau du Haut Koenigsbourg,Clouds,couvert,04d,7.3455,48.2495,15.9,15.43,15.9,15.9,1014,72,1014,967,5.66,230,,FR,1753156404,1753212023,9,1.0,6482.0,,47.0,48.2495226,7.3454923
stations,10000,,1753171972,7200,3024297,Colmar,200,Colmar,Clouds,couvert,04d,7.358,48.0778,19.08,18.92,18.94,20.63,1014,72,1014,973,5.66,230,,FR,1753156440,1753211981,10,1.0,6482.0,,58.0,48.0777517,7.3579641
stations,10000,,1753171972,7200,3020324,Eguisheim,200,Eguisheim,Rain,légère pluie,10d,7.308,48.0448,19.25,19.11,18.9,20.6,1014,72,1014,971,5.66,230,,FR,1753156460,1753211986,11,1.0,6482.0,,58.0,48.0447968,7.3079618
stations,10000,,1753171972,7200,3033123,Besançon,200,Besancon,Clouds,nuageux,04d,6.0244,47.238,17.22,17.61,16.11,18.33,1018,100,1018,976,5.11,236,7.03,FR,1753156947,1753212114,12,2.0,2092707.0,,62.0,47.2380222,6.0243622
stations,10000,,1753171972,7200,3006622,Larrey,200,Dijon,Clouds,partiellement nuageux,03d,5.0415,47.3216,19.34,19.16,19.34,19.34,1016,70,1016,978,4.89,244,6.71,FR,1753157165,1753212368,13,,,,58.0,47.3215806,5.0414701
stations,10000,,1753171444,7200,3037543,Annecy,200,Annecy,Clouds,nuageux,04d,6.1289,45.8992,19.08,18.58,17.23,19.17,1017,59,1017,931,1.54,0,,FR,1753157206,1753211805,14,1.0,6500.0,,66.0,45.8992348,6.1288847
stations,10000,,1753171973,7200,6454071,Grenoble,200,Grenoble,Clouds,partiellement nuageux,03d,5.7358,45.1876,22.65,22.8,22.65,22.65,1016,70,1016,921,1.34,82,4.47,FR,1753157444,1753211755,15,2.0,2004515.0,,62.0,45.1875602,5.7357819
stations,10000,,1753171973,7200,8015556,Vieux Lyon,200,Lyon,Clouds,peu nuageux,02d,4.832,45.7578,20.54,20.14,18.76,21.13,1017,57,1017,985,3.6,320,,FR,1753157546,1753212087,16,1.0,6505.0,,84.0,45.7578137,4.8320114
