city,dt,temperature,temperature_max,temperature_min,weather,weather_id,dt_txt_date,dt_txt_time,Precipitation_prob,score_tendance_5jours,temperature_moyenne_tendance_5jours
Le Mont-Saint-Michel,1753174800,18.49,18.49,18.49,Clouds,802,2025-07-22,09:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753185600,18.92,19.77,18.92,Clouds,802,2025-07-22,12:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753196400,18.89,19.09,18.89,Clouds,803,2025-07-22,15:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753207200,18.45,18.45,18.45,Clouds,804,2025-07-22,18:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753218000,17.02,17.02,17.02,Clouds,804,2025-07-22,21:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753228800,16.59,16.59,16.59,Clouds,804,2025-07-23,00:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753239600,15.34,15.34,15.34,Rain,500,2025-07-23,03:00:00,0.59,73.0,17.7
Le Mont-Saint-Michel,1753250400,15.3,15.3,15.3,Rain,500,2025-07-23,06:00:00,0.98,73.0,17.7
Le Mont-Saint-Michel,1753261200,18.57,18.57,18.57,Rain,500,2025-07-23,09:00:00,0.2,73.0,17.7
Le Mont-Saint-Michel,1753272000,20.01,20.01,20.01,Rain,500,2025-07-23,12:00:00,0.33,73.0,17.7
Le Mont-Saint-Michel,1753282800,19.82,19.82,19.82,Clouds,802,2025-07-23,15:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753293600,18.0,18.0,18.0,Clouds,802,2025-07-23,18:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753304400,14.92,14.92,14.92,Clouds,801,2025-07-23,21:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753315200,15.01,15.01,15.01,Rain,500,2025-07-24,00:00:00,0.26,73.0,17.7
Le Mont-Saint-Michel,1753326000,14.63,14.63,14.63,Rain,500,2025-07-24,03:00:00,0.61,73.0,17.7
Le Mont-Saint-Michel,1753336800,15.5,15.5,15.5,Rain,500,2025-07-24,06:00:00,0.46,73.0,17.7
Le Mont-Saint-Michel,1753347600,19.84,19.84,19.84,Clear,800,2025-07-24,09:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753358400,20.76,20.76,20.76,Rain,500,2025-07-24,12:00:00,0.24,73.0,17.7
Le Mont-Saint-Michel,1753369200,19.11,19.11,19.11,Rain,500,2025-07-24,15:00:00,0.37,73.0,17.7
Le Mont-Saint-Michel,1753380000,18.25,18.25,18.25,Clouds,802,2025-07-24,18:00:00,0.1,73.0,17.7
Le Mont-Saint-Michel,1753390800,14.98,14.98,14.98,Clear,800,2025-07-24,21:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753401600,14.91,14.91,14.91,Clouds,801,2025-07-25,00:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753412400,14.91,14.91,14.91,Clouds,802,2025-07-25,03:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753423200,16.13,16.13,16.13,Clouds,801,2025-07-25,06:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753434000,20.39,20.39,20.39,Clouds,801,2025-07-25,09:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753444800,21.53,21.53,21.53,Clouds,801,2025-07-25,12:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753455600,21.11,21.11,21.11,Clear,800,2025-07-25,15:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753466400,19.2,19.2,19.2,Clear,800,2025-07-25,18:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753477200,15.2,15.2,15.2,Clear,800,2025-07-25,21:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753488000,15.22,15.22,15.22,Clear,800,2025-07-26,00:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753498800,15.2,15.2,15.2,Clear,800,2025-07-26,03:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753509600,16.64,16.64,16.64,Clouds,802,2025-07-26,06:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753520400,19.54,19.54,19.54,Clouds,802,2025-07-26,09:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753531200,20.24,20.24,20.24,Clouds,802,2025-07-26,12:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753542000,20.54,20.54,20.54,Clear,800,2025-07-26,15:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753552800,18.66,18.66,18.66,Clear,800,2025-07-26,18:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753563600,15.18,15.18,15.18,Clouds,803,2025-07-26,21:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753574400,15.51,15.51,15.51,Clouds,802,2025-07-27,00:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753585200,14.91,14.91,14.91,Clouds,804,2025-07-27,03:00:00,0.0,73.0,17.7
Le Mont-Saint-Michel,1753596000,16.32,16.32,16.32,Clouds,804,2025-07-27,06:00:00,0.0,73.0,17.7
St Malo,1753174800,17.29,17.8,17.29,Clouds,804,2025-07-22,09:00:00,0.0,73.0,17.7
St Malo,1753185600,18.02,19.47,18.02,Clouds,804,2025-07-22,12:00:00,0.0,73.0,17.7
St Malo,1753196400,18.39,18.94,18.39,Clouds,804,2025-07-22,15:00:00,0.0,73.0,17.7
St Malo,1753207200,18.13,18.13,18.13,Clouds,804,2025-07-22,18:00:00,0.0,73.0,17.7
St Malo,1753218000,17.06,17.06,17.06,Clouds,804,2025-07-22,21:00:00,0.0,73.0,17.7
St Malo,1753228800,16.55,16.55,16.55,Clouds,804,2025-07-23,00:00:00,0.0,73.0,17.7
St Malo,1753239600,15.84,15.84,15.84,Rain,500,2025-07-23,03:00:00,0.32,73.0,17.7
St Malo,1753250400,15.47,15.47,15.47,Rain,500,2025-07-23,06:00:00,0.88,73.0,17.7
St Malo,1753261200,18.27,18.27,18.27,Rain,500,2025-07-23,09:00:00,0.94,73.0,17.7
