,city,dt,temperature,temperature_max,temperature_min,weather,weather_id,dt_txt_date,dt_txt_time,Precipitation_prob,score
0,Mont Saint Michel,1735657200,10.96,10.96,10.96,Clouds,804,2024-12-31,15:00:00,0.0,-10
1,Mont Saint Michel,1735668000,10.04,10.04,8.21,Clouds,804,2024-12-31,18:00:00,0.0,-10
2,Mont Saint Michel,1735678800,8.43,8.43,7.17,Clouds,804,2024-12-31,21:00:00,0.0,-10
3,Mont Saint Michel,1735689600,7.91,7.91,7.91,Clouds,804,2025-01-01,00:00:00,0.0,-10
4,Mont Saint Michel,1735700400,10.33,10.33,10.33,Rain,500,2025-01-01,03:00:00,0.2,-10
5,Mont Saint Michel,1735711200,11.44,11.44,11.44,Clouds,804,2025-01-01,06:00:00,0.0,-10
6,Mont Saint Michel,1735722000,11.35,11.35,11.35,Clouds,804,2025-01-01,09:00:00,0.0,-10
7,Mont Saint Michel,1735732800,12.12,12.12,12.12,Clouds,804,2025-01-01,12:00:00,0.0,-10
8,Mont Saint Michel,1735743600,12.25,12.25,12.25,Clouds,804,2025-01-01,15:00:00,0.0,-10
9,Mont Saint Michel,1735754400,12.11,12.11,12.11,Clouds,804,2025-01-01,18:00:00,0.0,-10
10,Mont Saint Michel,1735765200,10.79,10.79,10.79,Rain,500,2025-01-01,21:00:00,0.99,-10
11,Mont Saint Michel,1735776000,7.24,7.24,7.24,Rain,501,2025-01-02,00:00:00,1.0,-10
12,Mont Saint Michel,1735786800,5.82,5.82,5.82,Rain,501,2025-01-02,03:00:00,1.0,-10
13,Mont Saint Michel,1735797600,5.94,5.94,5.94,Rain,501,2025-01-02,06:00:00,1.0,-10
14,Mont Saint Michel,1735808400,6.34,6.34,6.34,Rain,500,2025-01-02,09:00:00,1.0,-10
15,Mont Saint Michel,1735819200,6.63,6.63,6.63,Clouds,804,2025-01-02,12:00:00,0.73,-10
16,Mont Saint Michel,1735830000,6.05,6.05,6.05,Clouds,804,2025-01-02,15:00:00,0.0,-10
17,Mont Saint Michel,1735840800,5.18,5.18,5.18,Clouds,804,2025-01-02,18:00:00,0.0,-10
18,Mont Saint Michel,1735851600,3.2,3.2,3.2,Clouds,804,2025-01-02,21:00:00,0.0,-10
19,Mont Saint Michel,1735862400,2.5,2.5,2.5,Clouds,804,2025-01-03,00:00:00,0.0,-10
20,Mont Saint Michel,1735873200,1.9,1.9,1.9,Clouds,804,2025-01-03,03:00:00,0.0,-10
21,Mont Saint Michel,1735884000,1.26,1.26,1.26,Clouds,804,2025-01-03,06:00:00,0.0,-10
22,Mont Saint Michel,1735894800,1.74,1.74,1.74,Clouds,804,2025-01-03,09:00:00,0.0,-10
23,Mont Saint Michel,1735905600,4.75,4.75,4.75,Clouds,804,2025-01-03,12:00:00,0.0,-10
24,Mont Saint Michel,1735916400,4.5,4.5,4.5,Clouds,804,2025-01-03,15:00:00,0.0,-10
25,Mont Saint Michel,1735927200,2.52,2.52,2.52,Clouds,804,2025-01-03,18:00:00,0.0,-10
26,Mont Saint Michel,1735938000,2.82,2.82,2.82,Clouds,804,2025-01-03,21:00:00,0.0,-10
27,Mont Saint Michel,1735948800,2.45,2.45,2.45,Rain,500,2025-01-04,00:00:00,0.32,-10
28,Mont Saint Michel,1735959600,1.66,1.66,1.66,Rain,500,2025-01-04,03:00:00,1.0,-10
29,Mont Saint Michel,1735970400,2.89,2.89,2.89,Rain,500,2025-01-04,06:00:00,1.0,-10
30,Mont Saint Michel,1735981200,6.59,6.59,6.59,Rain,501,2025-01-04,09:00:00,1.0,-10
31,Mont Saint Michel,1735992000,13.27,13.27,13.27,Rain,500,2025-01-04,12:00:00,1.0,-10
32,Mont Saint Michel,1736002800,13.04,13.04,13.04,Rain,500,2025-01-04,15:00:00,1.0,-10
33,Mont Saint Michel,1736013600,7.47,7.47,7.47,Rain,500,2025-01-04,18:00:00,1.0,-10
34,Mont Saint Michel,1736024400,6.59,6.59,6.59,Rain,500,2025-01-04,21:00:00,1.0,-10
35,Mont Saint Michel,1736035200,6.13,6.13,6.13,Rain,500,2025-01-05,00:00:00,1.0,-10
36,Mont Saint Michel,1736046000,7.68,7.68,7.68,Rain,501,2025-01-05,03:00:00,1.0,-10
37,Mont Saint Michel,1736056800,12.16,12.16,12.16,Rain,501,2025-01-05,06:00:00,1.0,-10
38,Mont Saint Michel,1736067600,12.27,12.27,12.27,Rain,501,2025-01-05,09:00:00,1.0,-10
39,Mont Saint Michel,1736078400,12.64,12.64,12.64,Rain,500,2025-01-05,12:00:00,1.0,-10
40,St Malo,1735657200,10.29,11.32,10.29,Clouds,803,2024-12-31,15:00:00,0.0,-10
41,St Malo,1735668000,9.93,9.93,9.21,Clouds,803,2024-12-31,18:00:00,0.0,-10
42,St Malo,1735678800,9.42,9.42,8.98,Clouds,803,2024-12-31,21:00:00,0.0,-10
43,St Malo,1735689600,10.72,10.72,10.72,Rain,500,2025-01-01,00:00:00,0.2,-10
44,St Malo,1735700400,11.61,11.61,11.61,Clouds,804,2025-01-01,03:00:00,0.0,-10
45,St Malo,1735711200,11.51,11.51,11.51,Clouds,804,2025-01-01,06:00:00,0.0,-10
46,St Malo,1735722000,11.36,11.36,11.36,Clouds,804,2025-01-01,09:00:00,0.0,-10
47,St Malo,1735732800,12.34,12.34,12.34,Clouds,804,2025-01-01,12:00:00,0.0,-10
48,St Malo,1735743600,12.33,12.33,12.33,Clouds,804,2025-01-01,15:00:00,0.0,-10
49,St Malo,1735754400,12.12,12.12,12.12,Rain,500,2025-01-01,18:00:00,0.2,-10
50,St Malo,1735765200,9.68,9.68,9.68,Rain,501,2025-01-01,21:00:00,1.0,-10
51,St Malo,1735776000,7.23,7.23,7.23,Rain,501,2025-01-02,00:00:00,1.0,-10
52,St Malo,1735786800,6.2,6.2,6.2,Rain,501,2025-01-02,03:00:00,1.0,-10
53,St Malo,1735797600,7.4,7.4,7.4,Rain,501,2025-01-02,06:00:00,1.0,-10
54,St Malo,1735808400,7.6,7.6,7.6,Rain,500,2025-01-02,09:00:00,0.68,-10
55,St Malo,1735819200,7.06,7.06,7.06,Clouds,804,2025-01-02,12:00:00,0.38,-10
56,St Malo,1735830000,6.85,6.85,6.85,Clouds,804,2025-01-02,15:00:00,0.0,-10
57,St Malo,1735840800,6.45,6.45,6.45,Clouds,804,2025-01-02,18:00:00,0.0,-10
58,St Malo,1735851600,5.77,5.77,5.77,Clouds,804,2025-01-02,21:00:00,0.0,-10
59,St Malo,1735862400,5.19,5.19,5.19,Clouds,804,2025-01-03,00:00:00,0.0,-10
60,St Malo,1735873200,4.51,4.51,4.51,Clouds,804,2025-01-03,03:00:00,0.0,-10
61,St Malo,1735884000,3.82,3.82,3.82,Clouds,804,2025-01-03,06:00:00,0.0,-10
62,St Malo,1735894800,3.45,3.45,3.45,Clouds,804,2025-01-03,09:00:00,0.0,-10
63,St Malo,1735905600,4.83,4.83,4.83,Clouds,804,2025-01-03,12:00:00,0.0,-10
64,St Malo,1735916400,4.97,4.97,4.97,Clouds,804,2025-01-03,15:00:00,0.0,-10
65,St Malo,1735927200,3.88,3.88,3.88,Clouds,804,2025-01-03,18:00:00,0.0,-10
66,St Malo,1735938000,3.2,3.2,3.2,Snow,600,2025-01-03,21:00:00,0.6,-10
67,St Malo,1735948800,2.56,2.56,2.56,Rain,500,2025-01-04,00:00:00,1.0,-10
68,St Malo,1735959600,2.56,2.56,2.56,Rain,500,2025-01-04,03:00:00,1.0,-10
69,St Malo,1735970400,3.55,3.55,3.55,Rain,500,2025-01-04,06:00:00,1.0,-10
70,St Malo,1735981200,8.98,8.98,8.98,Rain,500,2025-01-04,09:00:00,1.0,-10
71,St Malo,1735992000,13.59,13.59,13.59,Rain,500,2025-01-04,12:00:00,1.0,-10
72,St Malo,1736002800,12.31,12.31,12.31,Rain,501,2025-01-04,15:00:00,1.0,-10
73,St Malo,1736013600,8.36,8.36,8.36,Rain,500,2025-01-04,18:00:00,1.0,-10
74,St Malo,1736024400,6.86,6.86,6.86,Rain,500,2025-01-04,21:00:00,0.96,-10
75,St Malo,1736035200,6.13,6.13,6.13,Rain,501,2025-01-05,00:00:00,1.0,-10
76,St Malo,1736046000,6.34,6.34,6.34,Rain,501,2025-01-05,03:00:00,1.0,-10
77,St Malo,1736056800,11.7,11.7,11.7,Rain,501,2025-01-05,06:00:00,1.0,-10
78,St Malo,1736067600,12.7,12.7,12.7,Rain,501,2025-01-05,09:00:00,1.0,-10
79,St Malo,1736078400,12.91,12.91,12.91,Rain,500,2025-01-05,12:00:00,1.0,-10
80,Bayeux,1735657200,7.14,9.89,7.14,Clouds,804,2024-12-31,15:00:00,0.0,-10
81,Bayeux,1735668000,7.72,8.89,7.72,Clouds,804,2024-12-31,18:00:00,0.0,-10
82,Bayeux,1735678800,7.51,7.69,7.51,Clouds,804,2024-12-31,21:00:00,0.0,-10
83,Bayeux,1735689600,8.75,8.75,8.75,Clouds,804,2025-01-01,00:00:00,0.0,-10
