city,hotel_name,hotel_price,hotel_position,hotel_review,hotel_rating_star,hotel_description,hotel_url
Saint-Malo,Brit Hotel Le Surcouf,€ 853,"2,5 km du centre",Bien ,6,,https://www.booking.com/hotel/fr/le-surcouf.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=5343406_331251928_2_2_0&highlighted_blocks=5343406_331251928_2_2_0&matching_block_id=5343406_331251928_2_2_0&sr_pri_blocks=5343406_331251928_2_2_0__85290&from=searchresults
Bayeux,L'ATELIER DU VIEUX BOIS Spa,€ 4 865,250 m du centre,Exceptionnel,0,Maison de vacances entière. 6 chambres. 4 salles de bains. 1 cuisine. 250 m²,https://www.booking.com/hotel/fr/l-39-atelier-du-vieux-bois.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1410836&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f9700d6a6df1acce38fd0f589d1dd990&srepoch=1752856551&all_sr_blocks=730201701_327091703_12_0_0&highlighted_blocks=730201701_327091703_12_0_0&matching_block_id=730201701_327091703_12_0_0&sr_pri_blocks=730201701_327091703_12_0_0__486500&from=searchresults
Saint-Malo,Oceania Saint Malo,€ 1 948,"0,6 km du centre",Superbe,8,,https://www.booking.com/hotel/fr/oceaniasaintmalo.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=5318823_91458130_0_2_0&highlighted_blocks=5318823_91458130_0_2_0&matching_block_id=5318823_91458130_0_2_0&sr_pri_blocks=5318823_91458130_0_2_0__194770&from=searchresults
Saint-Malo,Résidence Le Roc Fleuri,€ 966,"2,8 km du centre",Fabuleux ,0,Studio entier. 1 salle de bains. 1 cuisine. 23 m²,https://www.booking.com/hotel/fr/ra-c-sidence-le-roc-fleuri.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=47677301_409613624_2_0_0&highlighted_blocks=47677301_409613624_2_0_0&matching_block_id=47677301_409613624_2_0_0&sr_pri_blocks=47677301_409613624_2_0_0__96610&from=searchresults
Saint-Malo,Best Western Alexandra,€ 1 345,2 km du centre,Très bien,8,,https://www.booking.com/hotel/fr/best-western-alexandra.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=5720014_0_2_0_0&highlighted_blocks=5720014_0_2_0_0&matching_block_id=5720014_0_2_0_0&sr_pri_blocks=5720014_0_2_0_0__134533&from_sustainable_property_sr=1&from=searchresults
Saint-Malo,Artimon By Les Ambassadeurs,€ 1 019,"1,7 km du centre",Note,0,,https://www.booking.com/hotel/fr/artimont-by-les-ambassadeurs.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=1243231102_396675953_2_2_0&highlighted_blocks=1243231102_396675953_2_2_0&matching_block_id=1243231102_396675953_2_2_0&sr_pri_blocks=1243231102_396675953_2_2_0__101920&from=searchresults
Saint-Malo,Grand Hôtel Des Thermes,€ 2 516,"2,1 km du centre",Très bien,10,,https://www.booking.com/hotel/fr/desthermessaintmalo.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=5110302_338405424_0_2_0&highlighted_blocks=5110302_338405424_0_2_0&matching_block_id=5110302_338405424_0_2_0&sr_pri_blocks=5110302_338405424_0_2_0__251580&from_sustainable_property_sr=1&from=searchresults
Saint-Malo,Hotel Kyriad Saint Malo Centre Plage,€ 1 107,"1,6 km du centre",Très bien,6,,https://www.booking.com/hotel/fr/bleumarinesaintmalo.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=5042136_330912477_0_2_0&highlighted_blocks=5042136_330912477_0_2_0&matching_block_id=5042136_330912477_0_2_0&sr_pri_blocks=5042136_330912477_0_2_0__110690&from_sustainable_property_sr=1&from=searchresults
Saint-Malo,Hotel Eden,€ 1 089,3 km du centre,Très bien,6,,https://www.booking.com/hotel/fr/eden-saint-malo.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=5461411_390660297_0_2_0&highlighted_blocks=5461411_390660297_0_2_0&matching_block_id=5461411_390660297_0_2_0&sr_pri_blocks=5461411_390660297_0_2_0__108890&from=searchresults
Saint-Malo,Logis Hôtel la Grassinais Saint-Malo,€ 1 272,4 km du centre,Superbe,6,,https://www.booking.com/hotel/fr/arcantis-la-grassinais.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=5492710_276271571_2_2_0&highlighted_blocks=5492710_276271571_2_2_0&matching_block_id=5492710_276271571_2_2_0&sr_pri_blocks=5492710_276271571_2_2_0__127190&from=searchresults
Saint-Malo,Residence Reine Marine,€ 2 290,"3,8 km du centre",Superbe,8,Appartement entier. 1 chambre. 1 salon. 1 salle de bains. 40 m²,https://www.booking.com/hotel/fr/residence-reine-marine.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=5929007_88984957_0_0_0&highlighted_blocks=5929007_88984957_0_0_0&matching_block_id=5929007_88984957_0_0_0&sr_pri_blocks=5929007_88984957_0_0_0__228970&from=searchresults
Saint-Malo,Hôtel Le Nouveau Monde,€ 2 073,"1,1 km du centre",Superbe,8,,https://www.booking.com/hotel/fr/ha-tel-le-nouveau-monde.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=37957402_88928201_2_42_0&highlighted_blocks=37957402_88928201_2_42_0&matching_block_id=37957402_88928201_2_42_0&sr_pri_blocks=37957402_88928201_2_42_0__207270&from=searchresults
Saint-Malo,ibis Styles Saint Malo Centre Historique,€ 1 433,150 m du centre,Superbe,6,,https://www.booking.com/hotel/fr/all-seasons-saint-malo-centre-historique.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=29019201_376292792_2_1_0&highlighted_blocks=29019201_376292792_2_1_0&matching_block_id=29019201_376292792_2_1_0&sr_pri_blocks=29019201_376292792_2_1_0__143346&from=searchresults
Saint-Malo,La Villa du Sillon,€ 1 497,"1,4 km du centre",Bien ,0,,https://www.booking.com/hotel/fr/la-villa-du-sillon.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=684805702_278768520_2_2_0&highlighted_blocks=684805702_278768520_2_2_0&matching_block_id=684805702_278768520_2_2_0&sr_pri_blocks=684805702_278768520_2_2_0__149720&from=searchresults
Saint-Malo,Charmant appartement Saint-Malo,€ 959,"4,1 km du centre",Très bien,0,Appartement entier. 1 chambre. 1 salon. 1 salle de bains. 1 cuisine. 25 m²,https://www.booking.com/hotel/fr/charmant-appartement-saint-malo.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=1120807901_401184495_2_0_0&highlighted_blocks=1120807901_401184495_2_0_0&matching_block_id=1120807901_401184495_2_0_0&sr_pri_blocks=1120807901_401184495_2_0_0__95893&from=searchresults
Saint-Malo,"Hôtel des Marins, Saint-Malo",€ 1 477,100 m du centre,Superbe,6,,https://www.booking.com/hotel/fr/dulouvresaintmalo.fr.html?aid=304142&ucfs=1&arphpl=1&checkin=2025-07-18&checkout=2025-07-25&dest_id=-1466824&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=2a84a962e8131a656343bb43550ee7bc&srepoch=1752856551&all_sr_blocks=5127015_88548286_0_2_0&highlighted_blocks=5127015_88548286_0_2_0&matching_block_id=5127015_88548286_0_2_0&sr_pri_blocks=5127015_88548286_0_2_0__147690&from=searchresults
